day_date,twitter_reldates,tw_place_mentions
2019-08-12,"2019-08-12, 2019-08-11, 2019-08-10","neubad, kleinhüningen"
2019-08-13,"2019-08-13, 2019-08-12, 2019-08-11","theater, kleinhüningen, luzernerring, bruderholzstrasse, neubad"
2019-08-14,"2019-08-14, 2019-08-13, 2019-08-12","theater, kleinhüningen, luzernerring, bruderholzstrasse, neubad"
2019-08-15,"2019-08-15, 2019-08-14, 2019-08-13","theater, gundeldingerstrasse, iwb, luzernerring, kleinhüningen, neubad, bruderholzstrasse, reinacherstrasse"
2019-08-19,"2019-08-19, 2019-08-18, 2019-08-17","wielandplatz, schützenhaus, brennerstrasse"
2019-08-20,"2019-08-20, 2019-08-19, 2019-08-18",eisengasse
2019-08-21,"2019-08-21, 2019-08-20, 2019-08-19","centralbahnplatz, eisengasse"
2019-08-23,"2019-08-23, 2019-08-22, 2019-08-21","centralbahnplatz, gundeldingerstrasse, rheingasse"
2019-08-27,"2019-08-27, 2019-08-26, 2019-08-25",wiesenstrasse
2019-09-04,"2019-09-04, 2019-09-03, 2019-09-02","dreispitz, bruderholzstrasse, allschwilerplatz"
2019-09-05,"2019-09-05, 2019-09-04, 2019-09-03","dreispitz, bruderholzstrasse, rheingasse"
2019-09-06,"2019-09-06, 2019-09-05, 2019-09-04",rheingasse
2019-09-07,"2019-09-07, 2019-09-06, 2019-09-05",rheingasse
2019-09-08,"2019-09-08, 2019-09-07, 2019-09-06",dreispitz
2019-09-12,"2019-09-12, 2019-09-11, 2019-09-10",
2019-09-13,"2019-09-13, 2019-09-12, 2019-09-11","bruderholzstrasse, kannenfeldplatz"
2019-09-14,"2019-09-14, 2019-09-13, 2019-09-12","bruderholzstrasse, kannenfeldplatz"
2019-09-16,"2019-09-16, 2019-09-15, 2019-09-14",
2019-09-20,"2019-09-20, 2019-09-19, 2019-09-18","spalenberg, münsterplatz, st. jakob, gundeldingerstrasse"
